Designator,Mid X,Mid Y,Rotation,Layer
C1,376.0,-200.0,270.0,top
C10,368.0786,-382.1626,180.0,top
C11,368.0786,-379.3376,180.0,top
C12,368.0786,-377.8376,180.0,top
C13,368.0786,-376.3376,180.0,top
C14,370.3786,-373.9626,90.0,top
C15,368.8286,-373.9626,90.0,top
C16,370.5536,-387.9626,270.0,top
C17,368.9786,-387.9626,270.0,top
C18,357.5501,-373.9001,270.0,top
C19,357.5501,-369.2501,90.0,top
C2,376.0,-213.0,90.0,top
C20,376.0,-252.0,270.0,top
C21,376.0,-265.0,270.0,top
C22,376.0,-278.0,270.0,top
C23,376.0,-291.0,270.0,top
C24,376.0,-304.0,270.0,top
C25,376.0,-317.0,270.0,top
C26,376.0,-330.0,270.0,top
C27,376.0,-343.0,270.0,top
C28,376.0,-356.0,270.0,top
C3,360.0536,-393.7876,270.0,top
C4,376.0,-226.0,270.0,top
C5,376.0,-239.0,270.0,top
C6,383.1536,-388.3876,180.0,top
C7,386.4036,-384.7626,90.0,top
C8,379.9786,-381.8876,270.0,top
C9,382.2286,-381.1376,0.0,top
D1,414.05,-381.45,0.0,top
D10,505.05,-381.45,0.0,top
D100,503.95,-180.65,270.0,top
D101,517.1,-176.3,270.0,top
D102,529.95,-180.5,270.0,top
D103,543.0,-176.15,270.0,top
D104,555.95,-180.45,270.0,top
D105,399.0,-179.6,270.0,top
D106,413.0,-174.85,270.0,top
D107,426.0,-179.2,270.0,top
D108,439.0,-174.75,270.0,top
D109,452.0,-179.0,270.0,top
D11,518.05,-381.45,0.0,top
D110,465.0,-174.65,270.0,top
D111,477.95,-179.0,270.0,top
D112,491.0,-174.65,270.0,top
D113,503.95,-179.1,270.0,top
D114,517.1,-174.75,270.0,top
D115,529.95,-178.95,270.0,top
D116,543.05,-174.6,270.0,top
D117,555.95,-178.9,270.0,top
D118,399.0,-178.05,270.0,top
D119,399.0,-176.5,270.0,top
D12,531.05,-381.45,0.0,top
D120,426.0,-177.65,270.0,top
D121,426.0,-176.1,270.0,top
D122,452.0,-177.45,270.0,top
D123,452.0,-175.9,270.0,top
D124,477.95,-177.45,270.0,top
D125,477.95,-175.95,270.0,top
D126,503.95,-177.55,270.0,top
D127,503.95,-176.025,270.0,top
D128,529.95,-177.4,270.0,top
D129,529.95,-175.85,270.0,top
D13,544.05,-381.45,0.0,top
D130,555.95,-177.35,270.0,top
D131,555.95,-175.8,270.0,top
D132,399.01,-171.91,270.0,top
D133,426.0,-171.5,270.0,top
D134,451.99,-171.3,270.0,top
D135,477.97,-171.32,270.0,top
D136,503.96,-171.41,270.0,top
D137,529.95,-171.15,270.0,top
D138,555.95,-171.15,270.0,top
D139,399.0,-170.35,270.0,top
D14,557.05,-381.45,0.0,top
D140,426.0,-169.95,270.0,top
D141,452.0,-169.75,270.0,top
D142,478.0,-169.75,270.0,top
D143,503.95,-169.85,270.0,top
D144,529.95,-169.55,270.0,top
D145,555.95,-169.55,270.0,top
D146,399.0,-174.95,270.0,top
D147,426.0,-174.575,270.0,top
D148,451.975,-174.35,270.0,top
D149,477.95,-174.4,270.0,top
D15,413.0,-184.0,270.0,top
D150,503.95,-174.5,270.0,top
D151,529.95,-174.325,270.0,top
D152,555.95,-174.25,270.0,top
D153,399.0,-173.42,270.0,top
D154,426.01,-173.05,270.0,top
D155,451.975,-172.825,270.0,top
D156,477.95,-172.875,270.0,top
D157,503.95,-172.95,270.0,top
D158,529.95,-172.8,270.0,top
D159,555.95,-172.65,270.0,top
D16,426.0,-188.35,270.0,top
D17,439.0,-184.0,270.0,top
D18,361.9185,-202.7486,0.0,top
D19,361.9185,-215.7486,0.0,top
D2,399.0,-188.75,270.0,top
D20,361.9185,-228.7486,0.0,top
D21,361.9185,-241.7486,0.0,top
D22,361.9185,-254.7486,0.0,top
D23,361.9185,-267.7486,0.0,top
D24,361.9185,-280.7486,0.0,top
D25,361.9185,-293.7486,0.0,top
D26,361.9185,-306.7486,0.0,top
D27,361.9185,-319.7486,0.0,top
D28,361.9185,-332.7486,0.0,top
D29,361.9185,-345.7486,0.0,top
D3,401.2688,-381.45,0.0,top
D30,361.9185,-358.7486,0.0,top
D31,452.0,-188.35,270.0,top
D32,465.0,-184.0,270.0,top
D33,478.0,-188.35,270.0,top
D34,491.0,-184.0,270.0,top
D35,503.95,-188.35,270.0,top
D36,517.0,-184.0,270.0,top
D37,529.95,-188.35,270.0,top
D38,543.0,-184.0,270.0,top
D39,555.95,-188.35,270.0,top
D4,427.05,-381.45,0.0,top
D40,399.0,-187.25,270.0,top
D41,413.0,-182.5,270.0,top
D42,426.0,-186.85,270.0,top
D43,439.0,-182.4,270.0,top
D44,452.0,-186.75,270.0,top
D45,465.0,-182.4,270.0,top
D46,478.0,-186.75,270.0,top
D47,491.0,-182.4,270.0,top
D48,503.95,-186.75,270.0,top
D49,517.05,-182.4,270.0,top
D5,440.05,-381.45,0.0,top
D50,529.95,-186.65,270.0,top
D51,543.0,-182.3,270.0,top
D52,555.95,-186.65,270.0,top
D53,399.0,-185.75,270.0,top
D54,413.0,-181.0,270.0,top
D55,426.0,-185.35,270.0,top
D56,439.0,-180.9,270.0,top
D57,452.0,-185.2,270.0,top
D58,465.0,-180.8,270.0,top
D59,478.0,-185.2,270.0,top
D6,453.05,-381.45,0.0,top
D60,491.0,-180.8,270.0,top
D61,503.95,-185.2,270.0,top
D62,517.05,-180.85,270.0,top
D63,529.95,-185.05,270.0,top
D64,543.0,-180.7,270.0,top
D65,555.95,-185.05,270.0,top
D66,399.0,-184.25,270.0,top
D67,413.0,-179.5,270.0,top
D68,426.0,-183.8,270.0,top
D69,439.0,-179.4,270.0,top
D7,466.05,-381.45,0.0,top
D70,452.0,-183.675,270.0,top
D71,464.99,-179.29,270.0,top
D72,478.0,-183.7,270.0,top
D73,490.99,-179.28,270.0,top
D74,503.94,-183.7,270.0,top
D75,517.04,-179.34,270.0,top
D76,529.95,-183.53,270.0,top
D77,543.0,-179.2,270.0,top
D78,555.95,-183.55,270.0,top
D79,399.0,-182.7,270.0,top
D8,479.05,-381.45,0.0,top
D80,413.0,-177.95,270.0,top
D81,426.0,-182.25,270.0,top
D82,439.0,-177.85,270.0,top
D83,452.0,-182.1,270.0,top
D84,464.95,-177.75,270.0,top
D85,478.0,-182.15,270.0,top
D86,491.0,-177.75,270.0,top
D87,503.95,-182.15,270.0,top
D88,517.05,-177.8,270.0,top
D89,529.95,-182.0,270.0,top
D9,492.05,-381.45,0.0,top
D90,543.0,-177.65,270.0,top
D91,555.95,-182.0,270.0,top
D92,399.0,-181.15,270.0,top
D93,413.0,-176.4,270.0,top
D94,426.0,-180.75,270.0,top
D95,439.0,-176.3,270.0,top
D96,452.0,-180.55,270.0,top
D97,465.0,-176.2,270.0,top
D98,477.95,-180.55,270.0,top
D99,491.0,-176.2,270.0,top
IC1,347.0,-265.0,0.0,top
IC2,347.0,-278.0,0.0,top
J1,376.15,-365.75,270.0,top
J2,346.95,-292.215,180.0,top
J3,347.15,-251.9,180.0,top
Q1,413.935,-377.95,180.0,top
Q10,517.935,-377.95,180.0,top
Q11,530.935,-377.95,180.0,top
Q12,543.935,-377.95,180.0,top
Q13,556.935,-377.95,180.0,top
Q17,361.685,-199.35,0.0,top
Q18,361.685,-212.35,0.0,top
Q19,361.685,-225.35,0.0,top
Q2,401.1538,-377.95,180.0,top
Q20,361.685,-238.35,0.0,top
Q21,361.685,-251.35,0.0,top
Q22,361.685,-264.35,0.0,top
Q23,361.685,-277.35,0.0,top
Q24,361.685,-290.35,0.0,top
Q25,361.685,-303.35,0.0,top
Q26,361.685,-316.35,0.0,top
Q27,361.685,-329.35,0.0,top
Q28,361.685,-342.35,0.0,top
Q29,361.685,-355.35,0.0,top
Q3,426.935,-377.95,180.0,top
Q4,439.935,-377.95,180.0,top
Q5,452.935,-377.95,180.0,top
Q6,465.935,-377.95,180.0,top
Q7,478.935,-377.95,180.0,top
Q8,491.935,-377.95,180.0,top
Q9,504.935,-377.95,180.0,top
R1,409.15,-379.85,180.0,top
R10,448.05,-376.0,180.0,top
R11,461.15,-379.85,180.0,top
R12,461.05,-376.0,180.0,top
R13,474.15,-379.85,180.0,top
R14,474.05,-376.0,180.0,top
R15,487.15,-379.85,180.0,top
R16,487.05,-376.0,180.0,top
R17,500.15,-379.85,180.0,top
R18,500.05,-376.0,180.0,top
R19,513.15,-379.85,180.0,top
R2,409.05,-376.0,180.0,top
R20,513.05,-376.0,180.0,top
R21,526.15,-379.85,180.0,top
R22,526.05,-376.0,180.0,top
R23,539.15,-379.85,180.0,top
R24,539.05,-376.0,180.0,top
R25,552.15,-379.85,180.0,top
R26,552.05,-376.0,180.0,top
R3,396.3688,-379.85,180.0,top
R33,358.5286,-393.7876,270.0,top
R34,338.3065,-393.4064,270.0,top
R35,338.3065,-387.8314,270.0,top
R36,379.5036,-385.7626,270.0,top
R37,364.6036,-381.5376,180.0,top
R38,364.6036,-380.0376,180.0,top
R39,354.1501,-382.1751,0.0,top
R4,396.2688,-376.0,180.0,top
R40,354.1501,-376.4126,0.0,top
R41,357.1685,-200.2486,180.0,top
R42,357.1685,-197.9486,0.0,top
R43,357.1685,-213.2486,180.0,top
R44,357.1685,-210.9486,0.0,top
R45,357.1685,-226.2486,180.0,top
R46,357.1685,-223.9486,0.0,top
R47,357.1685,-239.2486,180.0,top
R48,357.1685,-236.9486,0.0,top
R49,357.1685,-252.2486,180.0,top
R5,422.15,-379.85,180.0,top
R50,357.1685,-249.9486,0.0,top
R51,357.1685,-265.2486,180.0,top
R52,357.1685,-262.9486,0.0,top
R53,357.1685,-278.2486,180.0,top
R54,357.1685,-275.9486,0.0,top
R55,357.1685,-291.2486,180.0,top
R56,357.1685,-288.9486,0.0,top
R57,357.1685,-304.2486,180.0,top
R58,357.1685,-301.9486,0.0,top
R59,357.1685,-317.2486,180.0,top
R6,422.05,-376.0,180.0,top
R60,357.1685,-314.9486,0.0,top
R61,357.1685,-330.2486,180.0,top
R62,357.1685,-327.9486,0.0,top
R63,357.1685,-343.2486,180.0,top
R64,357.1685,-340.9486,0.0,top
R65,357.1685,-356.2486,180.0,top
R66,357.1685,-353.9486,0.0,top
R7,435.15,-379.85,180.0,top
R8,435.05,-376.0,180.0,top
R9,448.15,-379.85,180.0,top
SUB1,413.0,-199.61538,45.0,top
SUB10,425.61538,-213.0,135.0,top
SUB100,491.0,-355.61538,45.0,top
SUB101,517.0,-355.61538,45.0,top
SUB102,543.0,-355.61538,45.0,top
SUB11,451.61538,-213.0,135.0,top
SUB12,477.61538,-213.0,135.0,top
SUB13,503.61538,-213.0,135.0,top
SUB14,529.61538,-213.0,135.0,top
SUB15,555.61538,-213.0,135.0,top
SUB17,413.0,-225.61538,45.0,top
SUB18,439.0,-225.61538,45.0,top
SUB19,465.0,-225.61538,45.0,top
SUB2,439.0,-199.61538,45.0,top
SUB20,491.0,-225.61538,45.0,top
SUB21,517.0,-225.61538,45.0,top
SUB22,543.0,-225.61538,45.0,top
SUB25,399.61538,-239.0,135.0,top
SUB26,425.61538,-239.0,135.0,top
SUB27,451.61538,-239.0,135.0,top
SUB28,477.61538,-239.0,135.0,top
SUB29,503.61538,-239.0,135.0,top
SUB3,465.0,-199.61538,45.0,top
SUB30,529.61538,-239.0,135.0,top
SUB31,555.61538,-239.0,135.0,top
SUB33,413.0,-251.61538,45.0,top
SUB34,439.0,-251.61538,45.0,top
SUB35,465.0,-251.61538,45.0,top
SUB36,491.0,-251.61538,45.0,top
SUB37,517.0,-251.61538,45.0,top
SUB38,543.0,-251.61538,45.0,top
SUB4,491.0,-199.61538,45.0,top
SUB41,399.61538,-265.0,135.0,top
SUB42,425.61538,-265.0,135.0,top
SUB43,451.61538,-265.0,135.0,top
SUB44,477.61538,-265.0,135.0,top
SUB45,503.61538,-265.0,135.0,top
SUB46,529.61538,-265.0,135.0,top
SUB47,555.61538,-265.0,135.0,top
SUB49,413.0,-277.61538,45.0,top
SUB5,517.0,-199.61538,45.0,top
SUB50,439.0,-277.61538,45.0,top
SUB51,465.0,-277.61538,45.0,top
SUB52,491.0,-277.61538,45.0,top
SUB53,517.0,-277.61538,45.0,top
SUB54,543.0,-277.61538,45.0,top
SUB57,399.61538,-291.0,135.0,top
SUB58,425.61538,-291.0,135.0,top
SUB59,451.61538,-291.0,135.0,top
SUB6,543.0,-199.61538,45.0,top
SUB60,477.61538,-291.0,135.0,top
SUB61,503.61538,-291.0,135.0,top
SUB62,529.61538,-291.0,135.0,top
SUB63,555.61538,-291.0,135.0,top
SUB65,413.0,-303.61538,45.0,top
SUB66,439.0,-303.61538,45.0,top
SUB67,465.0,-303.61538,45.0,top
SUB68,491.0,-303.61538,45.0,top
SUB69,517.0,-303.61538,45.0,top
SUB70,543.0,-303.61538,45.0,top
SUB73,399.61538,-317.0,135.0,top
SUB74,425.61538,-317.0,135.0,top
SUB75,451.61538,-317.0,135.0,top
SUB76,477.61538,-317.0,135.0,top
SUB77,503.61538,-317.0,135.0,top
SUB78,529.61538,-317.0,135.0,top
SUB79,555.61538,-317.0,135.0,top
SUB81,413.0,-329.61538,45.0,top
SUB82,439.0,-329.61538,45.0,top
SUB83,465.0,-329.61538,45.0,top
SUB84,491.0,-329.61538,45.0,top
SUB85,517.0,-329.61538,45.0,top
SUB86,543.0,-329.61538,45.0,top
SUB89,399.61538,-343.0,135.0,top
SUB9,399.61538,-213.0,135.0,top
SUB90,425.61538,-343.0,135.0,top
SUB91,451.61538,-343.0,135.0,top
SUB92,477.61538,-343.0,135.0,top
SUB93,503.61538,-343.0,135.0,top
SUB94,529.61538,-343.0,135.0,top
SUB95,555.61538,-343.0,135.0,top
SUB97,413.0,-355.61538,45.0,top
SUB98,439.0,-355.61538,45.0,top
SUB99,465.0,-355.61538,45.0,top
SW1,344.2,-393.42,180.0,top
SW2,344.2,-387.8,180.0,top
TOP1,399.575,-199.575,90.0,top
TOP10,425.575,-225.575,90.0,top
TOP11,451.575,-225.575,90.0,top
TOP12,477.575,-225.575,90.0,top
TOP13,503.575,-225.575,90.0,top
TOP14,529.575,-225.575,90.0,top
TOP15,555.575,-225.575,90.0,top
TOP17,399.575,-251.575,90.0,top
TOP18,425.575,-251.575,90.0,top
TOP19,451.575,-251.575,90.0,top
TOP2,425.575,-199.575,90.0,top
TOP20,477.575,-251.575,90.0,top
TOP21,503.575,-251.575,90.0,top
TOP22,529.575,-251.575,90.0,top
TOP23,555.575,-251.575,90.0,top
TOP25,399.575,-277.575,90.0,top
TOP26,425.575,-277.575,90.0,top
TOP27,451.575,-277.575,90.0,top
TOP28,477.575,-277.575,90.0,top
TOP29,503.575,-277.575,90.0,top
TOP3,451.575,-199.575,90.0,top
TOP30,529.575,-277.575,90.0,top
TOP31,555.575,-277.575,90.0,top
TOP33,399.575,-303.575,90.0,top
TOP34,425.575,-303.575,90.0,top
TOP35,451.575,-303.575,90.0,top
TOP36,477.575,-303.575,90.0,top
TOP37,503.575,-303.575,90.0,top
TOP38,529.575,-303.575,90.0,top
TOP39,555.575,-303.575,90.0,top
TOP4,477.575,-199.575,90.0,top
TOP41,399.575,-329.575,90.0,top
TOP42,425.575,-329.575,90.0,top
TOP43,451.575,-329.575,90.0,top
TOP44,477.575,-329.575,90.0,top
TOP45,503.575,-329.575,90.0,top
TOP46,529.575,-329.575,90.0,top
TOP47,555.575,-329.575,90.0,top
TOP49,399.575,-355.575,90.0,top
TOP5,503.575,-199.575,90.0,top
TOP50,425.575,-355.575,90.0,top
TOP51,451.575,-355.575,90.0,top
TOP52,477.575,-355.575,90.0,top
TOP53,503.575,-355.575,90.0,top
TOP54,529.575,-355.575,90.0,top
TOP55,555.575,-355.575,90.0,top
TOP6,529.575,-199.575,90.0,top
TOP7,555.575,-199.575,90.0,top
TOP9,399.575,-225.575,90.0,top
U1,362.3286,-387.3126,90.0,top
U3,373.9501,-381.9751,180.0,top
U4,363.2001,-371.5501,180.0,top
USB1,329.0,-379.0,270.0,top
Y1,383.1536,-384.7626,90.0,top
